[i] Train : 7038
[i] Valid : 227
[i] pred_bboxes_op : Tensor("transpose:0", shape=(?, 49104, 4), dtype=float32)
[i] pred_classes_op : Tensor("RetinaNet/Sigmoid:0", shape=(?, 49104, 2), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 49104, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 49104, 2), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
 [i] generate validation data
[i] iter : 50, loss : 510.7725, focal_loss : 502.4768, giou_loss : 0.5309, l2_reg_loss : 7.7648, train_time : 49sec
[i] iter : 100, loss : 53.4267, focal_loss : 45.2775, giou_loss : 0.3923, l2_reg_loss : 7.7569, train_time : 21sec
[i] iter : 150, loss : 17.8529, focal_loss : 9.7454, giou_loss : 0.3597, l2_reg_loss : 7.7477, train_time : 21sec
[i] iter : 200, loss : 12.0302, focal_loss : 3.9422, giou_loss : 0.3505, l2_reg_loss : 7.7375, train_time : 22sec
[i] iter : 250, loss : 11.4251, focal_loss : 3.3608, giou_loss : 0.3379, l2_reg_loss : 7.7264, train_time : 21sec
[i] iter : 300, loss : 10.5050, focal_loss : 2.4593, giou_loss : 0.3310, l2_reg_loss : 7.7148, train_time : 21sec
[i] iter : 350, loss : 10.0944, focal_loss : 2.0833, giou_loss : 0.3085, l2_reg_loss : 7.7026, train_time : 21sec
[i] iter : 400, loss : 10.0531, focal_loss : 2.0522, giou_loss : 0.3108, l2_reg_loss : 7.6901, train_time : 21sec
[i] iter : 450, loss : 9.8587, focal_loss : 1.8765, giou_loss : 0.3050, l2_reg_loss : 7.6771, train_time : 21sec
[i] iter : 500, loss : 9.5632, focal_loss : 1.5948, giou_loss : 0.3045, l2_reg_loss : 7.6639, train_time : 21sec
[i] iter : 550, loss : 9.4419, focal_loss : 1.5105, giou_loss : 0.2810, l2_reg_loss : 7.6504, train_time : 21sec
[i] iter : 600, loss : 9.2300, focal_loss : 1.3110, giou_loss : 0.2824, l2_reg_loss : 7.6366, train_time : 21sec
[i] iter : 650, loss : 9.1258, focal_loss : 1.2182, giou_loss : 0.2848, l2_reg_loss : 7.6228, train_time : 22sec
[i] iter : 700, loss : 8.9919, focal_loss : 1.1013, giou_loss : 0.2817, l2_reg_loss : 7.6088, train_time : 21sec
[i] iter : 750, loss : 8.9109, focal_loss : 1.0378, giou_loss : 0.2781, l2_reg_loss : 7.5951, train_time : 21sec
[i] iter : 800, loss : 8.8017, focal_loss : 0.9485, giou_loss : 0.2717, l2_reg_loss : 7.5814, train_time : 21sec
[i] iter : 850, loss : 8.5345, focal_loss : 0.6975, giou_loss : 0.2693, l2_reg_loss : 7.5676, train_time : 22sec
[i] iter : 900, loss : 8.5383, focal_loss : 0.7213, giou_loss : 0.2632, l2_reg_loss : 7.5539, train_time : 21sec
[i] iter : 950, loss : 8.4447, focal_loss : 0.6480, giou_loss : 0.2565, l2_reg_loss : 7.5401, train_time : 21sec
[i] iter : 1000, loss : 8.4174, focal_loss : 0.6318, giou_loss : 0.2593, l2_reg_loss : 7.5263, train_time : 21sec
[i] iter : 1050, loss : 8.4846, focal_loss : 0.7134, giou_loss : 0.2585, l2_reg_loss : 7.5127, train_time : 21sec
[i] iter : 1100, loss : 8.3774, focal_loss : 0.6235, giou_loss : 0.2547, l2_reg_loss : 7.4991, train_time : 21sec
[i] iter : 1150, loss : 8.3148, focal_loss : 0.5746, giou_loss : 0.2547, l2_reg_loss : 7.4855, train_time : 22sec
[i] iter : 1200, loss : 8.2541, focal_loss : 0.5345, giou_loss : 0.2476, l2_reg_loss : 7.4720, train_time : 22sec
[i] iter : 1250, loss : 8.2490, focal_loss : 0.5377, giou_loss : 0.2529, l2_reg_loss : 7.4584, train_time : 21sec
[i] iter : 1300, loss : 8.1883, focal_loss : 0.4989, giou_loss : 0.2446, l2_reg_loss : 7.4449, train_time : 22sec
[i] iter : 1350, loss : 8.1060, focal_loss : 0.4321, giou_loss : 0.2426, l2_reg_loss : 7.4312, train_time : 21sec
[i] iter : 1400, loss : 8.1455, focal_loss : 0.4840, giou_loss : 0.2440, l2_reg_loss : 7.4176, train_time : 21sec
[i] iter : 1450, loss : 8.0819, focal_loss : 0.4403, giou_loss : 0.2377, l2_reg_loss : 7.4040, train_time : 21sec
[i] iter : 1500, loss : 8.0613, focal_loss : 0.4317, giou_loss : 0.2393, l2_reg_loss : 7.3904, train_time : 21sec
[i] iter : 1550, loss : 8.0298, focal_loss : 0.4177, giou_loss : 0.2354, l2_reg_loss : 7.3767, train_time : 22sec
[i] iter : 1600, loss : 8.0276, focal_loss : 0.4253, giou_loss : 0.2392, l2_reg_loss : 7.3631, train_time : 21sec
[i] iter : 1650, loss : 8.1583, focal_loss : 0.5758, giou_loss : 0.2328, l2_reg_loss : 7.3496, train_time : 22sec
[i] iter : 1700, loss : 8.0431, focal_loss : 0.4764, giou_loss : 0.2307, l2_reg_loss : 7.3360, train_time : 21sec
[i] iter : 1750, loss : 7.9659, focal_loss : 0.4032, giou_loss : 0.2403, l2_reg_loss : 7.3224, train_time : 21sec
[i] iter : 1800, loss : 7.9235, focal_loss : 0.3826, giou_loss : 0.2320, l2_reg_loss : 7.3088, train_time : 21sec
[i] iter : 1850, loss : 7.8719, focal_loss : 0.3539, giou_loss : 0.2228, l2_reg_loss : 7.2952, train_time : 21sec
[i] iter : 1900, loss : 7.8805, focal_loss : 0.3666, giou_loss : 0.2324, l2_reg_loss : 7.2815, train_time : 22sec
[i] iter : 1950, loss : 7.8984, focal_loss : 0.4101, giou_loss : 0.2204, l2_reg_loss : 7.2679, train_time : 23sec
[i] iter : 2000, loss : 7.8423, focal_loss : 0.3635, giou_loss : 0.2245, l2_reg_loss : 7.2543, train_time : 23sec
[i] iter : 2050, loss : 7.8779, focal_loss : 0.4137, giou_loss : 0.2233, l2_reg_loss : 7.2410, train_time : 23sec
